слово;перевод;тег
banana;банан;фрукты
orange;апельсин;фрукты
tomato;помидор;овощи
carrot;морковь;овощи
apple;яблоко;фрукты
potato;картофель;овощи
pear;груша;фрукты
cucumber;огурец;овощи
peach;персик;фрукты
onion;лук;овощи
grape;виноград;фрукты
garlic;чеснок;овощи
strawberry;клубника;фрукты
cabbage;капуста;овощи
melon;дыня;фрукты
pepper;перец;овощи
